avg_ops,avg_runtime_s,n,stdev_runtime_s,trials
1.0,3.537298471201211e-06,50,1.0373730127293961e-06,10
1.0,4.604100831784308e-06,100,3.6399831190063996e-07,10
1.0,7.86270247772336e-06,200,8.748068500334964e-08,10
1.0,1.5379097021650523e-05,400,3.4938009093710096e-07,10
1.0,3.0358298681676386e-05,800,2.4422610313139664e-06,10
